collect_date,client_state,client_county,n_all,n_sgtf
2021-11-07,OR,Multnomah,1,0
2021-11-10,OR,Deschutes,4,0
2021-11-11,OR,Deschutes,7,0
2021-11-12,OR,Deschutes,6,0
2021-11-12,WA,King,1,0
2021-11-13,OR,Deschutes,8,0
2021-11-13,WA,King,1,0
2021-11-14,OR,Deschutes,5,0
2021-11-14,WA,King,1,0
2021-11-15,OR,Deschutes,10,0
2021-11-15,WA,Benton-Franklin,11,0
2021-11-15,WA,King,7,0
2021-11-15,WA,Yakima,2,0
2021-11-16,OR,Deschutes,1,0
2021-11-16,WA,Benton-Franklin,1,0
2021-11-16,WA,King,29,0
2021-11-17,OR,Deschutes,5,0
2021-11-17,WA,King,4,0
2021-11-17,WA,Yakima,1,0
2021-11-18,OR,Deschutes,2,0
2021-11-18,WA,Benton-Franklin,1,0
2021-11-18,WA,King,38,0
2021-11-18,WA,Thurston,3,0
2021-11-18,WA,Walla Walla,2,0
2021-11-18,WA,Yakima,11,0
2021-11-19,OR,Deschutes,5,0
2021-11-19,WA,Benton-Franklin,24,0
2021-11-19,WA,King,54,0
2021-11-19,WA,Snohomish,9,0
2021-11-19,WA,Walla Walla,7,0
2021-11-19,WA,Yakima,19,0
2021-11-20,OR,Deschutes,5,0
2021-11-20,WA,King,29,0
2021-11-21,OR,Deschutes,2,0
2021-11-21,WA,Benton-Franklin,17,0
2021-11-21,WA,King,6,0
2021-11-21,WA,Yakima,8,0
2021-11-22,OR,Deschutes,4,0
2021-11-22,WA,Benton-Franklin,1,0
2021-11-22,WA,King,1,0
2021-11-22,WA,Walla Walla,4,0
2021-11-23,ID,Clearwater,1,0
2021-11-23,OR,Deschutes,1,0
2021-11-23,WA,Benton-Franklin,4,0
2021-11-23,WA,King,18,0
2021-11-23,WA,Yakima,3,0
2021-11-24,OR,Deschutes,2,0
2021-11-24,WA,Benton-Franklin,2,0
2021-11-24,WA,King,102,0
2021-11-24,WA,Pierce,2,0
2021-11-24,WA,Snohomish,6,0
2021-11-24,WA,Yakima,8,0
2021-11-25,OR,Deschutes,4,0
2021-11-25,WA,King,7,0
2021-11-26,OR,Deschutes,8,0
2021-11-26,WA,Benton-Franklin,30,0
2021-11-26,WA,King,127,0
2021-11-26,WA,Pierce,2,0
2021-11-26,WA,Snohomish,27,0
2021-11-26,WA,Thurston,2,0
2021-11-26,WA,Walla Walla,2,0
2021-11-26,WA,Yakima,13,0
2021-11-27,OR,Deschutes,5,0
2021-11-27,WA,Benton-Franklin,19,0
2021-11-27,WA,King,168,0
2021-11-27,WA,Yakima,12,0
2021-11-28,OR,Deschutes,5,0
2021-11-28,WA,Benton-Franklin,35,0
2021-11-28,WA,King,47,0
2021-11-28,WA,Yakima,17,0
2021-11-29,OR,Deschutes,4,0
2021-11-29,WA,Benton-Franklin,42,0
2021-11-29,WA,King,280,2
2021-11-29,WA,Snohomish,15,0
2021-11-29,WA,Thurston,2,0
2021-11-29,WA,Walla Walla,5,0
2021-11-29,WA,Yakima,14,0
2021-11-30,OR,Deschutes,5,0
2021-11-30,WA,Benton-Franklin,33,0
2021-11-30,WA,King,173,1
2021-11-30,WA,Snohomish,19,0
2021-11-30,WA,Thurston,1,0
2021-11-30,WA,Whatcom,1,0
2021-11-30,WA,Yakima,28,0
2021-12-01,OR,Deschutes,5,0
2021-12-01,WA,Benton-Franklin,6,0
2021-12-01,WA,King,131,1
2021-12-01,WA,Snohomish,12,0
2021-12-01,WA,Thurston,3,0
2021-12-01,WA,Walla Walla,6,0
2021-12-01,WA,Yakima,16,0
2021-12-02,OR,Deschutes,11,0
2021-12-02,WA,Benton-Franklin,14,0
2021-12-02,WA,King,171,0
2021-12-02,WA,Pierce,3,0
2021-12-02,WA,Snohomish,7,0
2021-12-02,WA,Thurston,4,0
2021-12-02,WA,Walla Walla,5,0
2021-12-02,WA,Yakima,11,0
2021-12-03,OR,Deschutes,3,0
2021-12-03,WA,Benton-Franklin,29,0
2021-12-03,WA,King,161,0
2021-12-03,WA,Pierce,1,0
2021-12-03,WA,Snohomish,12,0
2021-12-03,WA,Thurston,1,0
2021-12-03,WA,Walla Walla,4,0
2021-12-03,WA,Yakima,10,0
2021-12-04,OR,Deschutes,7,0
2021-12-04,WA,Benton-Franklin,14,0
2021-12-04,WA,King,82,0
2021-12-04,WA,Yakima,4,0
2021-12-05,OR,Deschutes,5,0
2021-12-05,WA,Benton-Franklin,21,0
2021-12-05,WA,King,45,0
2021-12-05,WA,Yakima,22,0
2021-12-06,OR,Deschutes,8,0
2021-12-06,WA,Benton-Franklin,21,0
2021-12-06,WA,King,225,9
2021-12-06,WA,Pierce,2,0
2021-12-06,WA,Snohomish,14,0
2021-12-06,WA,Thurston,3,0
2021-12-06,WA,Walla Walla,4,0
2021-12-06,WA,Yakima,12,0
2021-12-07,OR,Deschutes,5,0
2021-12-07,WA,Benton-Franklin,18,0
2021-12-07,WA,King,150,16
2021-12-07,WA,Snohomish,6,0
2021-12-07,WA,Thurston,4,0
2021-12-07,WA,Walla Walla,2,0
2021-12-07,WA,Yakima,17,0
2021-12-08,ID,Clearwater,2,0
2021-12-08,OR,Deschutes,2,0
2021-12-08,WA,Benton-Franklin,11,4
2021-12-08,WA,King,192,22
2021-12-08,WA,Pierce,1,0
2021-12-08,WA,Snohomish,11,1
2021-12-08,WA,Thurston,1,0
2021-12-08,WA,Walla Walla,1,0
2021-12-08,WA,Yakima,6,1
2021-12-09,OR,Deschutes,7,1
2021-12-09,WA,Benton-Franklin,2,0
2021-12-09,WA,King,159,23
2021-12-09,WA,Pierce,1,0
2021-12-09,WA,Snohomish,7,1
2021-12-09,WA,Walla Walla,1,0
2021-12-09,WA,Whatcom,1,1
2021-12-09,WA,Yakima,29,5
2021-12-10,OR,Deschutes,4,0
2021-12-10,WA,Benton-Franklin,25,0
2021-12-10,WA,King,209,56
2021-12-10,WA,Pierce,2,0
2021-12-10,WA,Snohomish,11,2
2021-12-10,WA,Walla Walla,7,0
2021-12-10,WA,Yakima,15,0
2021-12-11,OR,Deschutes,6,0
2021-12-11,WA,Benton-Franklin,12,0
2021-12-11,WA,King,172,33
2021-12-11,WA,Yakima,2,0
2021-12-12,OR,Deschutes,4,0
2021-12-12,WA,Benton-Franklin,7,0
2021-12-12,WA,King,36,15
2021-12-12,WA,Yakima,10,2
2021-12-13,WA,Benton-Franklin,15,1
2021-12-13,WA,King,267,111
2021-12-13,WA,Pierce,1,0
2021-12-13,WA,Snohomish,18,6
2021-12-13,WA,Thurston,1,1
2021-12-13,WA,Walla Walla,5,0
2021-12-13,WA,Yakima,13,3
2021-12-14,WA,Benton-Franklin,1,0
2021-12-14,WA,King,252,142
2021-12-14,WA,Snohomish,12,2
2021-12-14,WA,Thurston,2,2
2021-12-14,WA,Walla Walla,2,0
2021-12-14,WA,Yakima,12,0
